Name,category,Specials,Description,HP,To Target,Armor V,STR,DEX,INT,PRE,statblock
Alien - Gray,Alien,,"Waist tall, big eyes, and an slit mouth. Standard extraterestrial.",5,-,0,2,4,6,1,2/4/6/1
Alien - Gray Boss,Alien,Telepathy,"Slightly smaller Gray, with bigger head. Has telepathy.",10,-,0,3,5,6,3,3/5/6/3
Alien - Reptilian,Alien,Contortionist,"Clumsy, garrulous, strong. Alligator skin. Can squeeze through shockingly small openings.",10,-,0,6,3,2,1,6/3/2/1
Alien - Reptilian (human form),Alien,Contortionist,"Reptilians have a genetic splicer that can make them look human. Unstable: if badly injured or killed, will return to original form.",4,-,0,6,3,2,1,6/3/2/1
Alien - Reptilian Officer,Alien,Contortionist,"A bigger, meaner Reptilian.",15,,0,7,3,4,3,7/3/4/3
Alien - Tall,Alien,Leap,Taller and thinner than a human. Almond eyes. Sadistic. 5m vertical leap.,7,-,0,2,4,6,1,2/4/6/1
Alien - Tall Supervisor,Alien,"Leap, Telepathy",Leader of a group of Talls. 5m vertical leap and Telepathy.,12,-,0,3,5,6,4,3/5/6/4
Animal - Big Bear,Animal,,"Grizzlies, polar bears, Kodiaks, and the like. Extremely aggressive. Difficult to scare off.",17,-,1,7,4,0,3,7/4/0/3
Animal - Big Cat,Animal,Stealthy,"Lion, cougar, panther, etc.",13,-,0,6,5,0,3,6/5/0/3
Animal - Constrictor Snake,Animal,Constrictor,"Python, boa, etc.… A big one. On a successful strike, Danger Die 1 means grabbed, held, and crushed for 1d6+2 per turn. Opposed STR check to break free.",12,Easy,0,5,5,0,2,5/5/0/2
Animal - Dog,Animal,Heightened Smell,"Guard dogs, pet dogs, wild dogs, search dogs, police dogs, etc.",3,-,0,3,5,0,3,3/5/0/3
Animal - Large,Animal,,"Moose, elk, black bear, boar, hyena, bull, etc. Adjust stats, if necessary, and give them the behavior of their species.",8,-,0,5,4,0,3,5/4/0/3
Animal - Medium,Animal,,"Baboon, badger, goat, jackal, deer, seal, octopus, etc.
Adjust stats, if necessary, and give them the behavior of their species. Attacks cause 1d6-3 damage.",3,-,0,3,5,0,3,3/5/0/3
Animal - Mount,Animal,,"Horse, camel, mule, etc. Can safely carry weight equivalent to two adults.",7,Easy,0,6,4,0,3,6/4/0/3
Animal - Poisonous Snake,Animal,Poisonous (Bite),"Cobra, rattler, cottonmouth, etc. Striking bite is a ranged attack. 1d6 poison damage per turn for 1-6 turns.",2,Hard,0,1,6,0,2,1/6/0/2
Animal - Raptor,Animal,Distance Vision,"Eagle, hawk, vulture, owl, etc.",2,Hard,0,2,6,0,3,2/6/0/3
Animal - Small,Animal,,"Bat, rat, big spider, frog, toad, raven, lizard, scorpion, cat, weasel, monkey, rattlesnake, etc. Hard to hit, but easy to kill. Bite hurts but causes no damage, unless poisonous. Adjust stats, if necessary, and give them the behavior of their species.",1,Hard,0,1,5,0,3,1/5/0/3
Animal - Swarm,Animal,,"Rats, insects, snakes, crows, fish, etc. They are all over you. They can attack every member of a party every turn.",20,Hard,0,2,6,0,2,2/6/0/2
Crocodile,Beast,,"Biting power has STR 8. On successful strike, Danger Die 1 means bitten, held, and crushed for 2d6. Opposed STR check to break free.",10,Easy,2,5,4,-,2,5/4/-/2
Dire Wolf,Beast,Heightened Smell,"A huge wolf, five feet tall at the shoulder. Pack hunter, often found in groups of 1d6+2.",12,Easy,0,6,5,-,3,6/5/-/3
Elephant,Beast,,Prehensile trunk.,38,Easy,1,8,3,-,2,8/3/-/2
Giant Ant,Beast,,"On successful attack with Danger Die showing 1 or 2: target grabbed, held, and lifted. Ant will try to carry away.",20,Easy,,9,3,-,1,9/3/-/1
Giant Ape,Beast,Climber,Several stories tall. Excellent Climber,79,Easy,0,8,5,-,3,8/5/-/3
Giant Bat,Beast,Echolocation,5m wingspan. Bites.,11,Easy,0,5,6,-,3,5/6/-/3
Giant Boar,Beast,Tusks,"Really big, dangerous pig. 2m at shoulder.",21,Easy,0,6,4,-,2,6/4/-/2
Giant Centipede,Beast,Poisonous (Bite),6m long. Poisonous bite does 1-3 damage for 1-6 turns.,2,Hard,1,2,5,-,1,2/5/-/1
Giant Constrictor Snake,Beast,Constrictor,"Python, boa, etc.… 20m long. Can easily swallow a human. On a successful strike, Danger Die 1 means grabbed, held, and crushed for 2d6+2 per turn. Opposed STR check to break free. Might release during massive attack.",30,Easy,0,7,5,-,2,7/5/-/2
Giant Crab,Beast,,"2 attacks per turn. On successful attack with Danger Die showing 1 or 2: target grabbed, held, and lifted. ",15,-,3,6,3,-,2,6/3/-/2
Giant Crocodile,Beast,,"Biting power has STR 9. Bite does 2d6 damage. On successful strike, Danger Die 1 means bitten, held, and crushed for 3d6. Opposed STR check to break free.",43,Easy,2,7,3,-,2,7/3/-/2
Giant Eagle,Beast,,3m wingspan. Crushing talons.,13,Easy,0,6,6,-,4,6/6/-/4
Giant Fire Beetle,Beast,Breath Weapon: Fire,1m long. Very quick. Spit lava balls.,2,Hard,2,3,4,-,1,3/4/-/1
Giant Frog/Toad,Beast,Sticky Tongue,"2m tall while sitting. 2m long tongue. Snapping bite attacks. On successful attack, Danger Die 1 means victim pulled into mouth with tongue. 1d6 dmg per turn.",9,Easy,0,4,5,-,2,4/5/-/2
Giant Lizard,Beast,,"4m long, without tail.",10,Easy,0,5,4,-,2,5/4/-/2
Giant Octopus,Beast,,"2 attacks per turn. If danger die shows 1, target is grabbed and must test STR to escape.",26,Easy,0,6,5,-,3,6/5/-/3
Giant Poisonous Snake,Beast,Poisonous (Bite),On successful attack with Danger Die showing 1 or 2: target poisoned 1d6 damage for 1-3 turns.,6,Easy,0,4,6,-,2,4/6/-/2
Giant Rat,Beast,,1m tall at shoulder,4,Hard,0,3,5,-,2,3/5/-/2
Giant Scorpion,Beast,Poisonous (Sting),"Claws and stinger. 5m long with the tail. On a successful attack, if the Danger Die shows 1 or 2, target has been stung by the tail. 1d6 poison damage per turn for 1d6 turns.",26,Easy,1,5,5,-,2,5/5/-/2
Giant Snake,Beast,,Danger Die 1 means victim swallowed. 1d6 dmg per turn.,13,Easy,0,7,5,0,2,7/5/0/2
Giant Spider,Beast,Poisonous (Bite),2m tall at shoulder. Successful bite with danger die 1-3 means target paralyzed and suffering 1d6 damage for 1d6 rounds.,13,Easy,0,5,6,-,2,5/6/-/2
Giant Wasp,Beast,Poisonous (Sting),"The size of a large dog. On hit, target suffers 1d6-2 damage for 1-3 rounds. Usually encountered in groups of 1d6+2.",7,-,0,4,5,-,2,4/5/-/2
Gorilla,Beast,Climber,"Excellent climber, very strong",10,-,0,7,5,-,2,7/5/-/2
Gorilla - Enhanced,Beast,,,20,-,,6,6,-,3,6/6/-/3
Killer Whale,Beast,,Bites for 1d6+2 damage.,45,Easy,0,7,4,-,2,7/4/-/2
Megolodon,Beast,,A really giant shark. Drawn to blood in the water up to a 1km away. Successful attack and Danger Die 1 means target is swallowed. All attacks do 2d6 damage.,63,Easy,0,8,4,-,2,8/4/-/2
Rhinoceros,Beast,Charge Attack,Tramples and charges.,23,Easy,2,7,3,-,3,7/3/-/3
Shark,Beast,,Drawn to blood in water up to 1km away. Bite does 1d6+3 damage,23,Easy,0,6,5,-,3,6/5/-/3
Tiger,Beast,"Night Vision, Stealthy","Night vision, silent stalker, camouflage.",19,Easy,0,7,5,-,3,7/5/-/3
Warhorse,Beast,,Really tough horse.,10,Easy,0,6,4,-,3,6/4/-/3
Wolf,Beast,Heightened Smell,"Pack hunter, usually found in groups of 1d6+1 wolves.",6,-,0,4,5,-,3,4/5/-/3
Brain Bot,Bot,Heat Vision,"Has instant access to all historical and scientific data. Capable of sophisticated communication and massive calculations. May have become self-aware. Probably controls a squadron of other bots, including security or soldier bots.",10,-,0,3,3,10,3,3/3/10/3
Cargo Bot,Bot,"Heat Vision, Tractor Beam","Forklift on the front, tractor beam, and 2 massive pincer arms.",20,Easy,0,6,3,-,3,6/3/-/3
House Bot,Bot,Heat Vision,"General cleaning and housework. Vacuum, mop. 1 low-output laser for spot removal. Able to cook a good meal with whatever it has.",5,-,0,3,3,-,3,3/3/-/3
Medical Bot,Bot,"Heat Vision, Doctor","Can perform complex surgeries. When fully stocked, has enough onboard supply to hear 1d6 damage 20 times.",5,-,0,3,5,-,3,3/5/-/3
Repair Bot,Bot,Heat Vision,"Cutting torch, welding beam, 4 arms with grasping and multitool functions. Is able to answer engineering and how-to questions.",15,-,0,6,3,-,3,6/3/-/3
Science Bot,Bot,Heat Vision,Covered with sensors and measuring instruments. Is able to answer technical questions and give calculations.,5,-,0,3,5,-,3,3/5/-/3
Security Bot,Bot,Heat Vision,"Has a siren, two beam weapons, and one slug weapon. Is able to detain people with plasti-cuffs. 2 attacks per turn.",30,-,2,6,6,-,3,6/6/-/3
Soldier Bot,Bot,Heat Vision,4 beam weapons. 4 attacks per turn. All attacks for 1d6+3 damage. Very agile. ,35,-,3,7,6,-,6,7/6/-/6
Tank Bot,Bot,Heat Vision,War machine. Covered with laser cannons. 3 attacks per turn. All attacks do 2d6+3 damage.,75,Easy,4,10,4,-,3,10/4/-/3
Worker Bot,Bot,"Heat Vision, Tractor Beam",General labor. Has a tractor beam and highly functional hands.,15,-,0,6,3,-,3,6/3/-/3
Android,Construct,,"A self-aware robot that looks human, is capabable of high-speed calculation and has instant access to massive amounts of information. May be motivated by obsucre non-human drives.",15,-,1,6,6,6,3,6/6/6/3
Golem,Construct,,"Magical statue come to life. Stone, iron, or clay. Danger die 1 means target is grabbed and held for 1d6 damage. Opposed STR check to break free.",67,Easy,2,7,3,0,0,7/3/0/0
Golem - Flesh,Construct,,Huge creature cobbled together from viarious body parts and brought to life.,47,-,0,7,3,1,2,7/3/1/2
Homunculus,Construct,Telepathy,"A tiny hideous creature, humanlike but deformed. Created by magic. Fed on human blood. Communicates telepathically and obeys its creator.",3,Hard,0,2,5,3,2,2/5/3/2
Robot - Giant,Construct,,Three story tall robot with laser eyes and smashing fists. All attacks 3d6 damage. Under someone's control.,80,Easy,2,8,4,0,0,8/4/0/0
Chupacabra,Cryptid,,Big blood-sucking canid with enormous teeth.,20,-,0,4,5,0,3,4/5/0/3
Sasquatch,Cryptid,,"Bigfoot. Will throw rocks. Big rocks. Very mean, but usually only attacks upon provocation.",25,-,0,7,4,1,1,7/4/1/1
Skunk Ape,Cryptid,,"Smaller, quicker, very foul-smelling swamp sasquatch. Frenzied. Will attack instantly. Found in small groups.",20,,0,5,6,1,1,5/6/1/1
Swamp Demon,Cryptid,,"Can emerge from or disappear into any still water, even a bathtub. Funky smelling. Claws.",20,Hard,2,6,3,2,3,6/3/2/3
Yeti,Cryptid,,"The abominable snowman. Like sasquatch, but more aggressive and in cold places. Found in groups.",26,Easy,,6,5,1,1,6/5/1/1
Demon - Common,Demon,Spell: Dopplegang,Lowest level demon. A foot soldier or messenger. 6’4” tall. Able to appear as a human.,9,Hard,1,6,4,3,3,6/4/3/3
Demon - Major,Demon,"Spells: Dopplegang, Fireball, Command, Fear (L2)",20’ tall. Able to appear in human form without touching any target. Throws fireballs. All attacks do 2d6 damage.,131,Easy,2,9,5,5,5,9/5/5/5
Demon - Minor,Demon,"Spells: Dopplegang, Fireball",12’ tall. Able to appear in human form without touching any target. Throws fireballs.,42,Easy,1,6,5,4,4,6/5/4/4
Demon - Thrall,Demon,,Possessed humans and favor seekers. ,5,Hard,0,3,3,2,2,3/3/2/2
Devil - Bone,Demon,,,71,Easy,2,6,6,4,4,6/6/4/4
Devil - Horned,Demon,,,89,Easy,1,8,6,4,4,8/6/4/4
Devil - Imp,Demon,,,5,Hard,0,2,6,3,3,2/6/3/3
Devil - Pit Fiend,Demon,,,150,Easy,3,9,5,2,3,9/5/2/3
Bugbear,Humanoid,,The biggest of the goblin species. Hairy and horrible. They love spiked clubs.,14,-,0,5,5,2,3,5/5/2/3
Bugbear Chief,Humanoid,,"Leads a group of 1-6 bugbears, and maybe even some goblins and hobgoblins.",33,-,0,6,5,3,3,6/5/3/3
Coleopteran,Humanoid,Natural Armor (AV 1),Bug People. Spindly and slightly shorter than humans. Follow chemically issued orders from Queen.,2,-,1,3,4,1,3,3/4/1/3
Coleopteran - Queen,Humanoid,Natural Armor (AV 2),7’ tall. Clever. Commands 10 or more soldiers.,20,-,2,3,4,6,6,3/4/6/6
Dwarf,Humanoid,Darkvision,"3.5m tall, subterranian folk. Live in mountains. Love gold and gems. Exellent miners. Strong.",6,,0,4,3,3,3,4/3/3/3
Dwarf Leader,Humanoid,Darkvision,Leads a settlment of dwarves.,15,,3,5,3,4,5,5/3/4/5
Dwarf - Fighter,Humanoid,Darkvision,Dwarven foot soldier. Typically armed with war hammer or axe.,10,,2,5,3,3,3,5/3/3/3
Elf,Humanoid,Darkvision,"Slender, and slightly shorter than a human. Typically armed with a bow and long sword.",5,-,1,3,4,3,3,3/4/3/3
